product_sku;attribute_name;attribute_value
79396514;points_forts_0;<ul><li>1 sortie 1 Ampère + 1 sortie 2,4 Ampère pour une double recharge rapide</li><li>Délivre 2 recharges de votre appareil</li><li>Indicateur numérique de niveau de charge précisant le niveau précis de charge de la batterie</li><li>Port USB universel pour recharger une vaste gamme de dispositifs mobiles</li><li>Solution idéale pour recharger votre smartphone ou votre tablette tactile partout et à tout moment</li></ul>
79419605;note_environnementale;C
79419605;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/maul.html
79419605;points_forts_0;<ul><li>Le modèle de base au design agréable</li><li>Cadre moderne en plastique résistant aux chocs</li><li>Extrêmement bien lisible</li><li>Aspect classique pour le bureau ou à la maison</li><li>Couvercle en verre minéral plat</li><li>Alimentation par une pile 1,5 V (AA)</li><li>Chiffres en noir, diamètre de 30 cm : police grasse, diamètre de 35 cm : police fine</li><li>Cadran blanc avec division des heures et des minutes</li><li>Axe de couleur de l'aiguille</li><li>Fixation murale par œillet en forme de poire</li><li>Pour le bureau, les salles communes et de réunion, l'acceuil, l'atelier et à domicile</li><li>Bonne lisibilité également dans les grandes pièces</li><li>Pour usage à l'intérieur</li></ul>
79419605;materiaux_produit_0;Verre minéral
79419605;couleur_ecriture_0;Blanc
79419605;modele_0;Radiopiloté
79419606;note_environnementale;C
79419606;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/maul.html
79419606;points_forts_0;<ul><li>Le modèle de base au design agréable</li><li>Cadre moderne en plastique résistant aux chocs</li><li>Extrêmement bien lisible</li><li>Aspect classique pour le bureau ou à la maison</li><li>Couvercle en verre minéral plat</li><li>Alimentation par une pile 1,5 V (AA)</li><li>Chiffres en noir, diamètre de 30 cm : police grasse, diamètre de 35 cm : police fine</li><li>Cadran blanc avec division des heures et des minutes</li><li>Axe de couleur de l'aiguille</li><li>Fixation murale par œillet en forme de poire</li><li>Pour le bureau, les salles communes et de réunion, l'acceuil, l'atelier et à domicile</li><li>Bonne lisibilité également dans les grandes pièces</li><li>Pour usage à l'intérieur</li></ul>
79419606;format_batterie;Type AA
79419606;materiaux_produit_0;Verre minéral
79419606;couleur_ecriture_0;Argent
79419606;modele_0;Radiopiloté
79419607;note_environnementale;C
79419607;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/maul.html
79419607;points_forts_0;<ul><li>Trotteuse glissante</li><li>Le modèle de base au design agréable</li><li>Cadre moderne en plastique résistant aux chocs</li><li>Extrêmement bien lisible</li><li>Aspect classique pour le bureau ou à la maison</li><li>Couvercle en verre minéral plat</li><li>Alimentation par une pile 1,5 V (AA)</li><li>Chiffres en noir, diamètre de 30 cm : police grasse, diamètre de 35 cm : police fine</li><li>Cadran blanc avec division des heures et des minutes</li><li>Axe de couleur de l'aiguille</li><li>Fixation murale par œillet en forme de poire</li><li>Pour le bureau, les salles communes et de réunion, l'acceuil, l'atelier et à domicile</li><li>Bonne lisibilité également dans les grandes pièces</li><li>Pour usage à l'intérieur</li></ul>
79419607;materiaux_produit_0;Verre minéral
79419607;couleur_ecriture_0;Argent
79419607;modele_0;Quartz
79419608;note_environnementale;C
79419608;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/maul.html
79419608;points_forts_0;<ul><li>Un modèle élégant et très robuste</li><li>Cadran fin en aluminium brossé</li><li>Radiopilotée</li><li>Traits fins, très bien visibles</li><li>Pour le bureau, les locaux représentatifs et l'utilisateur aimant le design</li></ul>
79419608;materiaux_produit_0;Verre minéral
79419608;couleur_ecriture_0;Blanc
79391607;hauteur_produi;2.35 cm
79391607;largeur_produit;9.6 cm
79391607;note_environnementale;D
79391607;poids_produit;123 g
79391607;profondeur_produit;4.2 cm
79391607;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/xmoove.html
79391607;points_forts_0;<ul><li>Un design unique</li><li>Compatible avec tous les appareils USB</li><li>Simple comme bonjour</li></ul>
79391608;hauteur_produi;2.35 cm
79391608;largeur_produit;9.6 cm
79391608;note_environnementale;D
79391608;poids_produit;123 g
79391608;profondeur_produit;4.2 cm
