promo_id;product_sku;reference_price;discount_value
OPE-SEPTEMBRE-2-AMOUNT-DISCOUNT;405164914;11.99;4.0
OPE-SEPTEMBRE-2-AMOUNT-DISCOUNT;405164915;11.99;4.0
OPE-SEPTEMBRE-2-AMOUNT-DISCOUNT;405164916;11.99;4.0
OPE-SEPTEMBRE-2-AMOUNT-DISCOUNT;405155010;34.99;15.0
OPE-SEPTEMBRE-2-AMOUNT-DISCOUNT;405161024;264.9;80.0
OPE-SEPTEMBRE-2-AMOUNT-DISCOUNT;79352459;399.0;100.0
OPE-SEPTEMBRE-2-AMOUNT-DISCOUNT;405240213;149.99;50.0
OPE-SEPTEMBRE-2-AMOUNT-DISCOUNT;405240359;299.0;120.0
OPE-SEPTEMBRE-2-AMOUNT-DISCOUNT;405239209;599.0;200.0
OPE-SEPTEMBRE-2-AMOUNT-DISCOUNT;79429785;619.0;200.0
OPE-SEPTEMBRE-2-AMOUNT-DISCOUNT;7333202;54.99;20.0
OPE-SEPTEMBRE-2-AMOUNT-DISCOUNT;77032899;69.99;20.0
OPE-SEPTEMBRE-2-AMOUNT-DISCOUNT;405233027;39.99;15.0
OPE-SEPTEMBRE-2-AMOUNT-DISCOUNT;405187513;349.99;70.0
OPE-SEPTEMBRE-2-AMOUNT-DISCOUNT;79418427;35.89;10.0
OPE-SEPTEMBRE-2-2025-BUNDLE;405188780;;
OPE-SEPTEMBRE-2-2025-BUNDLE;405188782;;
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79435504;79.99;50.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405253871;49.99;50.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405243944;24.99;48.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405243945;24.99;48.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79355919;5.79;50.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79388929;6.49;50.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79136886;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79136896;4.79;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405252047;4.79;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;5426;4.99;35.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405253631;5.39;35.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405253630;5.39;35.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;99999649;12.99;25.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;99999651;12.99;25.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;812878;19.89;40.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224132;129.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224133;159.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224134;269.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224124;129.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224127;189.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224079;179.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405224093;259.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79352478;2.39;50.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79352476;2.39;50.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79352475;2.39;50.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79352477;2.39;50.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;400001981;3.99;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;400001982;4.49;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;400001983;7.89;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;400001980;3.29;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;400001979;7.19;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;400001984;3.99;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;400001988;7.49;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;400001985;8.99;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;400001987;8.49;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;400001976;6.49;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;400001975;5.99;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;400001974;5.99;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;400001978;3.79;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;400001977;3.79;20.0
