sku;product_name;created_at;updated_at;status;tax_class_id;brand;barcode;product_type;product_typology;product_condition;authorized_shop_sale;product_sales;rating_summary;total_reviews
79393289;Jabra Solemate Mini - Enceinte - pour utilisation mobile - sans fil - rouge;2025-05-25 04:39:00;2025-05-28 21:28:00;Enabled;Classe de taxe produit 20%;Jabra;571000000000000000;StockÃ©;standard;;;2.0;;0.0
79393290;Jabra Solemate Mini - haut-parleur - pour utilisation mobile - sans fil;2025-05-25 04:39:00;2025-05-28 21:28:00;Enabled;Classe de taxe produit 20%;Jabra;571000000000000000;StockÃ©;standard;;;2.0;;0.0
79396728;Armor K15580 - cyan - remanufacturÃ© - cartouche de toner (alternative pourÂ : HP 305A);2025-05-24 21:50:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;Armor;311000000000000000;StockÃ©;cartridge;;;2.0;;0.0
79393292;Jabra STEALTH - casque;2025-05-24 23:48:00;2025-05-28 20:40:00;Enabled;Classe de taxe produit 20%;Jabra;571000000000000000;StockÃ©;standard;;;2.0;;0.0
79395490;Armor - cyan - cartouche de toner (alternative pourÂ : Samsung CLT-C504S);2025-05-24 21:50:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;Armor;311000000000000000;StockÃ©;cartridge;;;2.0;;0.0
79395491;Armor L686 - magenta - cartouche de toner (alternative pourÂ : Samsung CLT-M504S);2025-05-24 21:50:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;Armor;311000000000000000;StockÃ©;cartridge;;;2.0;;0.0
79395497;Armor L702 - noir - cartouche de toner (alternative pourÂ : Lexmark 60F2H00);2025-05-24 21:50:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;Armor;311000000000000000;StockÃ©;cartridge;;;2.0;;0.0
79395512;Fellowes 79ci - destructeur de documents coupe croisÃ©e - 16 feuilles - Corbeille 23 litres;2025-05-25 02:32:00;2025-05-28 21:17:00;Enabled;Classe de taxe produit 20%;Fellowes;43859629022;StockÃ©;standard;Produit Neuf;True;7.0;5 Ã©toiles;2.0
79393301;X-Doria Engage Plus - coque de protection pour tÃ©lÃ©phone portable;2025-05-25 06:16:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;X-Doria;695000000000000000;StockÃ©;standard;;;2.0;;0.0
79394413;Muvit - 2 films deprotection pour Ã©cran - pour Sony XPERIA E3;2025-05-25 19:47:00;2025-05-29 01:10:00;Enabled;Classe de taxe produit 20%;muvit;366000000000000000;StockÃ©;standard;;;2.0;;0.0
79391902;Canon i-SENSYS LBP6670dn - imprimante - monochrome - laser;2025-05-25 07:47:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;Canon;358000000000000000;StockÃ©;standard;Produit ReconditionnÃ©;;2.0;;0.0
79419733;Chaise FRESH - dossier resille et assise noire;2025-05-25 05:01:00;2025-05-28 21:48:00;Enabled;Classe de taxe produit 20%;Sokoa;366000000000000000;StockÃ©;standard;Produit Neuf;False;2.0;;0.0
