ï»¿Ã¯Â»Â¿shop_id;delivery_mode;is_actif;is_service_actif;delay_value;delay_unit;service_delay_value;service_delay_unit;calculation_strategy;fixed_cost;fixed_cost_currency;is_free_delivery_enabled;free_delivery_min_amount;radius_threshold;eligibility_type;eligibility_value;eligibility_comparator;eligibility_unit;max_malus_penalty;latest_order_same_day;radius_costs
BV529;SHIPPING;true;true;2;DAY;6.0;DAY;FIXED_COST;9.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV529;RELAY;true;false;2;DAY;6.0;DAY;FIXED_COST;5.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV529;EXPRESS;false;false;0;HOUR;0.0;HOUR;RADIUS_COST;;;;;40.0;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;15.0;13h;"0.0-5.0km:14.9; 5.0-20.0km:14.9; 20.0-25.0km:15.9; 25.0-30.0km:15.9; 30.0-35.0km:15.9; 35.0-40.0km:15.9"
BV529;CUSTOM_RELAY;false;false;2;HOUR;6.0;HOUR;FIXED_COST;9.9;EUR;;;;;;;;;;
BV517;PICK_UP;true;true;2;HOUR;2.0;HOUR;FIXED_COST;0.0;EUR;;;;;;;;;;
BV517;SHIPPING;true;true;2;DAY;6.0;DAY;FIXED_COST;9.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV517;RELAY;true;false;2;DAY;6.0;DAY;FIXED_COST;5.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV517;EXPRESS;false;false;0;HOUR;0.0;HOUR;RADIUS_COST;;;;;40.0;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;15.0;13h;"0.0-5.0km:14.9; 5.0-20.0km:14.9; 20.0-25.0km:15.9; 25.0-30.0km:15.9; 30.0-35.0km:15.9; 35.0-40.0km:15.9"
BV517;CUSTOM_RELAY;false;false;2;HOUR;6.0;HOUR;FIXED_COST;9.9;EUR;;;;;;;;;;
BV530;PICK_UP;true;true;2;HOUR;2.0;HOUR;FIXED_COST;0.0;EUR;;;;;;;;;;
BV530;SHIPPING;true;true;2;DAY;6.0;DAY;FIXED_COST;9.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV530;RELAY;true;false;2;DAY;6.0;DAY;FIXED_COST;5.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV530;EXPRESS;true;false;0;HOUR;0.0;HOUR;RADIUS_COST;;;;;10.0;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;15.0;13h;"0.0-5.0km:9.9; 5.0-20.0km:14.9; 20.0-25.0km:15.9; 25.0-30.0km:15.9; 30.0-35.0km:15.9; 35.0-40.0km:15.9"
BV530;CUSTOM_RELAY;false;false;2;HOUR;6.0;HOUR;FIXED_COST;9.9;EUR;;;;;;;;;;
BV543;PICK_UP;true;true;2;HOUR;2.0;HOUR;FIXED_COST;0.0;EUR;;;;;;;;;;
BV543;SHIPPING;true;true;2;DAY;6.0;DAY;FIXED_COST;9.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV543;RELAY;true;false;2;DAY;6.0;DAY;FIXED_COST;5.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV543;EXPRESS;false;false;0;HOUR;0.0;HOUR;RADIUS_COST;;;;;40.0;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;15.0;13h;"0.0-5.0km:14.9; 5.0-20.0km:14.9; 20.0-25.0km:15.9; 25.0-30.0km:15.9; 30.0-35.0km:15.9; 35.0-40.0km:15.9"
BV543;CUSTOM_RELAY;false;false;2;HOUR;6.0;HOUR;FIXED_COST;9.9;EUR;;;;;;;;;;
BV003;PICK_UP;true;true;2;HOUR;3.0;HOUR;FIXED_COST;0.0;EUR;;;;;;;;;;
BV003;SHIPPING;true;true;2;DAY;3.0;DAY;FIXED_COST;9.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV003;RELAY;true;false;2;DAY;3.0;DAY;FIXED_COST;5.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV003;EXPRESS;true;false;0;HOUR;0.0;HOUR;RADIUS_COST;;;;;15.0;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;15.0;14h;"0.0-5.0km:14.9; 5.0-20.0km:14.9; 20.0-25.0km:15.9; 25.0-30.0km:15.9; 30.0-35.0km:15.9; 35.0-40.0km:15.9"
BV003;CUSTOM_RELAY;false;false;2;HOUR;3.0;HOUR;FIXED_COST;9.9;EUR;;;;;;;;;;
BV002;PICK_UP;true;true;2;HOUR;2.0;HOUR;FIXED_COST;0.0;EUR;;;;;;;;;;
BV002;SHIPPING;true;true;2;DAY;2.0;DAY;FIXED_COST;9.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV002;RELAY;true;false;2;DAY;2.0;DAY;FIXED_COST;5.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV002;EXPRESS;true;false;0;HOUR;0.0;HOUR;RADIUS_COST;;;;;35.0;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;15.0;13h;"0.0-5.0km:6.9; 5.0-20.0km:6.9; 20.0-25.0km:6.9; 25.0-30.0km:6.9; 30.0-35.0km:6.9; 35.0-40.0km:6.9"
BV002;CUSTOM_RELAY;false;false;2;HOUR;2.0;HOUR;FIXED_COST;9.9;EUR;;;;;;;;;;
BV523;PICK_UP;true;true;2;HOUR;2.0;HOUR;FIXED_COST;0.0;EUR;;;;;;;;;;
BV523;SHIPPING;true;true;2;DAY;6.0;DAY;FIXED_COST;9.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
BV523;RELAY;true;false;2;DAY;6.0;DAY;FIXED_COST;5.9;EUR;true;39.0;;MIN_AMOUNT;0.0;GREATER_THAN;AMOUNT_IN_EUR;;;
